kept_trades,removed_trades,removed_net_profit_brl,all_trades,all_net_profit_brl,all_avg_profit_brl,all_profit_factor,all_win_rate,all_max_drawdown_pct,train_trades,train_net_profit_brl,train_avg_profit_brl,train_profit_factor,train_win_rate,train_max_drawdown_pct,test_trades,test_net_profit_brl,test_avg_profit_brl,test_profit_factor,test_win_rate,test_max_drawdown_pct,name,column,threshold,side,test_pf_delta,test_avg_delta
878,1801,8740.0,878,5375.0,6.121867881548975,1.2216951948855435,0.7289293849658315,6.655629139072848,659,4305.0,6.532625189681335,1.232451403887689,0.7314112291350531,6.389651117208937,219,1070.0,4.885844748858448,1.1868995633187773,0.7214611872146118,9.309865678554887,all_open_impulse_ge_33,signal_open_impulse,33.0,all,-0.028921588873827897,0.2030089279629257
1265,1414,6315.0,1265,7800.0,6.16600790513834,1.2266782911944203,0.7256916996047431,5.786307648238327,937,6245.0,6.664887940234792,1.24125941665057,0.727854855923159,5.70902394106814,328,1555.0,4.740853658536586,1.1824046920821114,0.7195121951219512,9.009812667261375,all_strength_score_ge_0.504248,strength_score,0.504248,all,-0.03341646011049382,0.05801783764106361
832,1847,9345.0,832,4770.0,5.733173076923077,1.202547770700637,0.7235576923076923,11.160714285714286,644,3815.0,5.923913043478261,1.2111234089651355,0.7236024844720497,11.160714285714286,188,955.0,5.079787234042553,1.1742700729927007,0.723404255319149,6.457399103139013,all_cum_volume_rel_ge_1.0436,signal_cum_volume_rel,1.043595,all,-0.04155107919990453,0.39695141314703086
1685,994,5860.0,1685,8255.0,4.899109792284866,1.187039764359352,0.7181008902077152,8.114175753688261,1225,6370.0,5.2,1.1922438509129318,0.7183673469387755,8.114175753688261,460,1885.0,4.0978260869565215,1.1713636363636364,0.717391304347826,11.952554744525548,all_open_impulse_ge_19,signal_open_impulse,19.0,all,-0.04445751582896884,-0.5850097339390006
1302,1377,7100.0,1302,7015.0,5.3878648233486945,1.1993180849552494,0.7235023041474654,8.487982963188317,956,5555.0,5.810669456066946,1.2092278719397362,0.7238493723849372,7.028317980211532,346,1460.0,4.219653179190751,1.1688837478311163,0.7225433526011561,12.821691176470587,all_open_impulse_ge_25,signal_open_impulse,25.0,all,-0.046937404361488966,-0.46318264170477086
1633,1046,5210.0,1633,8905.0,5.453153704837722,1.208133691714386,0.7244335578689528,7.522536524712466,1196,7145.0,5.974080267558528,1.2255366161616161,0.7282608695652174,7.522536524712466,437,1760.0,4.02745995423341,1.1584871679423683,0.7139588100686499,8.658536585365853,all_cum_volume_rel_ge_0.909764,signal_cum_volume_rel,0.909764,all,-0.05733398425023695,-0.6553758666621121
2161,518,2555.0,2161,11560.0,5.349375289217955,1.213935412232812,0.7223507635354003,8.412787436904095,1536,9295.0,6.051432291666667,1.2362434871012835,0.7259114583333334,8.412787436904095,625,2265.0,3.624,1.1541865214431586,0.7136,8.914549653579677,long_only_cum_volume_rel_ge_0.906626,signal_cum_volume_rel,0.906626,long,-0.06163463074944664,-1.058835820895522
855,1824,7780.0,855,6335.0,7.409356725146199,1.2667368421052632,0.7345029239766082,5.958291956305859,656,5555.0,8.46798780487805,1.3073305670816044,0.7378048780487805,5.958291956305859,199,780.0,3.919597989949749,1.137444933920705,0.7236180904522613,7.419064748201438,all_strength_score_ge_0.591442,strength_score,0.591442,all,-0.07837621827190033,-0.7632378309457732
1332,1347,6280.0,1332,7835.0,5.882132132132132,1.2321825455623054,0.7267267267267268,7.197875166002656,938,6525.0,6.956289978678038,1.2711970074812968,0.7345415778251599,6.553398058252427,394,1310.0,3.3248730964467006,1.1352607124419205,0.7081218274111675,11.016260162601627,all_range_vs_filter_ge_2.07498,signal_range_vs_filter,2.074976,all,-0.08056043975068472,-1.3579627244488215
1732,947,5630.0,1732,8485.0,4.898960739030023,1.1918164349497005,0.7199769053117783,8.391364902506963,1219,6920.0,5.676784249384742,1.2172002510985562,0.7260049220672683,8.391364902506963,513,1565.0,3.050682261208577,1.1264646464646464,0.7056530214424951,10.470779220779221,all_range_vs_filter_ge_1.80818,signal_range_vs_filter,1.808184,all,-0.08935650572795883,-1.632153559686945
