entry_time,exit_time,direction,entry_price,exit_price,pnl_brl
2025.07.09 14:40:00,2025.07.09 17:30:00,long,5513.500,5616.500,1019.00
2025.07.15 09:35:00,2025.07.15 10:35:00,short,5585.000,5574.500,94.00
2025.07.16 09:55:00,2025.07.16 11:20:00,long,5590.500,5597.500,59.00
2025.07.18 10:15:00,2025.07.18 11:30:00,short,5553.500,5556.000,-36.00
2025.07.22 10:25:00,2025.07.22 10:55:00,short,5576.500,5592.000,-166.00
2025.08.01 09:45:00,2025.08.01 10:55:00,short,5614.000,5595.500,174.00
2025.08.19 14:05:00,2025.08.19 17:30:00,long,5494.500,5518.500,229.00
2025.08.25 10:00:00,2025.08.25 14:45:00,short,5431.500,5418.500,119.00
2025.08.28 11:10:00,2025.08.28 12:55:00,short,5415.500,5416.500,-21.00
2025.09.09 09:30:00,2025.09.09 10:40:00,long,5456.000,5449.000,-81.00
2025.09.09 10:50:00,2025.09.09 12:45:00,short,5448.000,5453.500,-66.00
2025.09.10 09:10:00,2025.09.10 16:00:00,short,5457.000,5431.000,249.00
2025.09.11 09:50:00,2025.09.11 13:00:00,short,5431.500,5408.000,224.00
2025.09.12 10:05:00,2025.09.12 15:40:00,short,5405.500,5374.500,299.00
2025.09.25 09:55:00,2025.09.25 10:00:00,long,5343.500,5329.500,-151.00
2025.09.29 09:10:00,2025.09.29 09:45:00,short,5334.000,5338.500,-56.00
2025.10.02 10:00:00,2025.10.02 13:20:00,long,5368.500,5395.500,259.00
2025.10.03 10:25:00,2025.10.03 12:35:00,long,5383.000,5386.000,19.00
2025.10.09 10:25:00,2025.10.09 16:55:00,long,5374.500,5401.000,254.00
2025.10.10 09:40:00,2025.10.10 11:10:00,long,5409.000,5460.500,504.00
2025.10.21 12:00:00,2025.10.21 13:55:00,short,5399.500,5395.000,34.00
2025.10.22 09:15:00,2025.10.22 09:50:00,short,5397.000,5399.000,-31.00
2025.11.25 11:25:00,2025.11.25 12:00:00,long,5391.000,5402.500,104.00
2025.11.25 14:25:00,2025.11.25 17:10:00,short,5385.500,5381.500,29.00
2025.11.26 09:30:00,2025.11.26 09:40:00,short,5379.000,5388.000,-101.00
2025.11.26 10:10:00,2025.11.26 17:30:00,short,5379.000,5337.500,404.00
2025.12.08 12:00:00,2025.12.08 13:15:00,long,5452.000,5467.000,139.00
2025.12.12 10:05:00,2025.12.12 12:10:00,short,5419.000,5416.000,19.00
2025.12.26 11:15:00,2025.12.26 12:55:00,short,5545.000,5539.000,49.00
2026.01.05 11:30:00,2026.01.05 16:40:00,short,5467.000,5439.500,264.00
2026.01.06 09:50:00,2026.01.06 12:30:00,short,5432.000,5414.500,164.00
2026.01.23 10:05:00,2026.01.23 10:25:00,short,5289.500,5299.500,-111.00
2026.01.27 09:15:00,2026.01.27 17:30:00,short,5278.500,5204.500,729.00
2026.01.29 14:10:00,2026.01.29 17:30:00,short,5206.500,5192.500,129.00
2026.02.04 09:10:00,2026.02.04 11:35:00,short,5263.500,5259.000,34.00
2026.02.04 11:40:00,2026.02.04 14:05:00,long,5267.500,5272.000,34.00
2026.02.05 09:25:00,2026.02.05 10:10:00,long,5284.500,5286.000,4.00
2026.02.23 10:25:00,2026.02.23 12:55:00,short,5181.000,5159.500,204.00
2026.03.11 11:00:00,2026.03.11 13:05:00,short,5179.500,5187.500,-91.00
2026.03.12 14:30:00,2026.03.12 17:30:00,long,5239.000,5271.000,309.00
